07037;151;49.383;1.181667
61998;29;-49.352333;70.243333
61980;8;-20.8925;55.528667
07299;263;47.614333;7.51
07747;42;42.737167;2.872833
61970;9;-17.054667;42.712
81401;5;5.4855;-54.031667
89642;43;-66.663167;140.001
07005;69;50.136;1.834
07558;712;44.1185;3.0195
07110;94;48.444167;-4.412
81408;6;3.890667;-51.804667
07535;260;44.745;1.396667
07690;2;43.648833;7.209
07607;59;43.909833;-0.500167
78894;44;17.9015;-62.852167
07314;11;46.046833;-1.4115
67005;7;-12.8055;45.282833
07481;235;45.7265;5.077833
07761;5;41.918;8.792667
78890;27;16.335;-61.004
07207;34;47.294333;-3.218333
07471;833;45.0745;3.764
07181;336;48.581;5.959833
07335;123;46.593833;0.314333
07240;108;47.4445;0.727333
07643;2;43.577;3.963167
07027;67;49.18;-0.456167
07168;112;48.324667;4.02
07627;414;43.005333;1.106833
61976;7;-15.887667;54.520667
78897;11;16.264;-61.516333
71805;21;46.766333;-56.179167
07630;151;43.621;1.378833
07460;331;45.786833;3.149333
07190;150;48.5495;7.640333
07434;402;45.861167;1.175
07790;10;42.540667;9.485167
07577;73;44.581167;4.733
61996;27;-37.795167;77.569167
78922;26;14.7745;-60.875333
61972;6;-22.344167;40.340667
07015;47;50.57;3.0975
07117;55;48.825833;-3.473167
07621;360;43.188;0.0
07149;89;48.716833;2.384333
07072;95;49.209667;4.155333
07661;115;43.079333;5.940833
07591;871;44.565667;6.502333
07222;26;47.15;-1.608833
07139;143;48.4455;0.110167
81415;106;3.640167;-54.028333
61968;3;-11.582667;47.289667
07280;219;47.267833;5.088333
07510;47;44.830667;-0.691333
07650;9;43.437667;5.216
07130;36;48.068833;-1.734
81405;4;4.822333;-52.365333
07020;6;49.725167;-1.939833
61997;146;-46.4325;51.856667
07255;161;47.059167;2.359833
78925;3;14.595333;-60.995667
